// Compost colors for industrialupgrade. You may add your own colors, change existing ones, or remove colors that aren't needed.
additionmodule/charger, #ebeba8
raw_ingot/raw_ingot_iron, #fbfbfb
raw_ingot/raw_ingot_lead, #ebf0e4
raw_ingot/raw_ingot_magnesium, #faf1f7
raw_ingot/raw_ingot_manganese, #ffe8f7
raw_ingot/raw_ingot_mikhail, #d7ffff
raw_ingot/raw_ingot_molybdenum, #eddaff
raw_ingot/raw_ingot_neodymium, #fff8ff
raw_ingot/raw_ingot_nickel, #f7f5d9
raw_ingot/raw_ingot_niobium, #a8cae8
raw_ingot/raw_ingot_osmium, #c2ffff
raw_ingot/raw_ingot_palladium, #ffd7c5
raw_ingot/raw_ingot_platinum, #c2e0ff
raw_ingot/raw_ingot_polonium, #a0e0ff
raw_ingot/raw_ingot_silver, #ffffff
raw_ingot/raw_ingot_spinel, #f4bcdd
raw_ingot/raw_ingot_strontium, #e1d3be
raw_ingot/raw_ingot_tantalum, #d6ddbc
raw_ingot/raw_ingot_thallium, #d3ffc0
raw_ingot/raw_ingot_tin, #ffffff
raw_ingot/raw_ingot_titanium, #bcbcbe
raw_ingot/raw_ingot_tungsten, #dadada
raw_ingot/raw_ingot_vanadium, #e7e0f1
raw_ingot/raw_ingot_yttrium, #ffd2d0
raw_ingot/raw_ingot_zinc, #ffffff
raw_ingot/raw_ingot_zirconium, #e7d0a4
raw_latex, #fbfec9
raw_metals/raw_aluminium, #bb86bb
raw_metals/raw_arsenic, #bfe739
raw_metals/raw_barium, #b68e16
raw_metals/raw_bismuth, #79d9ee
raw_metals/raw_cadmium, #9a46bb
raw_metals/raw_chromium, #64bf65
raw_metals/raw_cobalt, #22acdd
raw_metals/raw_gadolinium, #f0840c
raw_metals/raw_gallium, #f7a843
raw_metals/raw_germanium, #aa6f34
raw_metals/raw_hafnium, #aacffe
raw_metals/raw_iridium, #cfcfcf
raw_metals/raw_lead, #bcc8a4
raw_metals/raw_magnesium, #e4b6dc
raw_metals/raw_manganese, #ffa1cd
raw_metals/raw_mikhail, #79e4e3
raw_metals/raw_molybdenum, #9e6bff
raw_metals/raw_neodymium, #ae91c3
raw_metals/raw_nickel, #d9d990
raw_metals/raw_niobium, #2d86c9
raw_metals/raw_osmium, #7acfd3
raw_metals/raw_palladium, #ffab47
raw_metals/raw_platinum, #5797ff
raw_metals/raw_polonium, #39ebff
raw_metals/raw_silver, #dcf5ff
raw_metals/raw_spinel, #eb6cb4
raw_metals/raw_strontium, #f08441
raw_metals/raw_tantalum, #a0b647
raw_metals/raw_thallium, #8efb51
raw_metals/raw_tin, #d0d0d0
raw_metals/raw_titanium, #4d4d52
raw_metals/raw_tungsten, #7d7d7d
raw_metals/raw_vanadium, #76658a
raw_metals/raw_yttrium, #ff8784
raw_metals/raw_zinc, #ebebeb
raw_metals/raw_zirconium, #eea125
reactormodules/capacitor0, #ff7543
reactormodules/capacitor1, #ff9439
reactormodules/capacitor2, #e0796b
reactormodules/capacitor3, #ff6468
reactormodules/componentvent0, #ff6634
reactormodules/componentvent1, #ff892d
reactormodules/componentvent2, #f56e5f
reactormodules/componentvent3, #ff585c
reactormodules/exchanger0, #ff7a39
reactormodules/exchanger1, #ff9a32
reactormodules/exchanger2, #fe7f62
reactormodules/exchanger3, #ff6961
reactormodules/generation0, #ff6e36
reactormodules/generation1, #ff8d2d
reactormodules/generation2, #f4725f
reactormodules/generation3, #ff5c5e
reactormodules/radiation0, #ffa53d
reactormodules/radiation1, #ffbf34
reactormodules/radiation2, #eda466
reactormodules/radiation3, #ff8e64
reactormodules/stableheat0, #f28257
reactormodules/stableheat1, #ffa04b
reactormodules/stableheat2, #d4847d
reactormodules/stableheat3, #ff6f7a
reactormodules/vent0, #ff964b
reactormodules/vent1, #ffb141
reactormodules/vent2, #f59672
reactormodules/vent3, #ff8070
reactors/adv_capacitor, #c9c9c9
reactors/adv_component_vent, #aa80aa
reactors/adv_coolant, #90fee8
reactors/adv_heat_exchange, #d6b1a4
reactors/adv_neutron_protector, #c08311
reactors/adv_proton_energy_coupler, #9bc2b2
reactors/adv_reactor_plate, #ff9a46
reactors/adv_vent, #ffff75
reactors/capacitor, #f27f47
reactors/component_vent, #ebebeb
reactors/coolant, #90bffe
reactors/dual_mox_fuel_rod, #98ac82
reactors/dual_uranium_fuel_rod, #87a46f
reactors/heat_exchange, #eec3b1
reactors/imp_capacitor, #c5c5c5
reactors/imp_component_vent, #ee8e70
reactors/imp_coolant, #a5e3e8
reactors/imp_heat_exchange, #705e57
reactors/imp_neutron_protector, #9e8030
reactors/imp_proton_energy_coupler, #72c0e0
reactors/imp_reactor_plate, #b1af98
reactors/imp_vent, #8dffff
reactors/mox_fuel_rod, #9db284
reactors/neutron_protector, #b46f11
reactors/per_capacitor, #66b6ff
reactors/per_component_vent, #6cc6b6
reactors/per_heat_exchange, #a2867d
reactors/per_neutron_protector, #bc6830
reactors/per_proton_energy_coupler, #989ee0
reactors/per_reactor_plate, #b4c8d2
reactors/per_vent, #f54e4e
reactors/proton, #9143c3
reactors/proton_energy_coupler, #80b2cd
reactors/protonshard, #ffe8ff
reactors/quad_mox_fuel_rod, #a1b887
reactors/quad_uranium_fuel_rod, #8cab70
reactors/reactor_plate, #e4edca
reactors/reactoramericiumdual, #93a5bc
reactors/reactoramericiumquad, #9aafc9
reactors/reactoramericiumsimple, #97abc3
reactors/reactorberkeliumdual, #d4a4c3
reactors/reactorberkeliumquad, #ddafcc
reactors/reactorberkeliumsimple, #deacca
reactors/reactorcaliforniadual, #6b7fa5
reactors/reactorcaliforniaquad, #6c82af
reactors/reactorcaliforniasimple, #6c80ab
reactors/reactorcuriumdual, #909a91
reactors/reactorcuriumquad, #96a197
reactors/reactorcuriumsimple, #939e94
reactors/reactoreinsteiniumdual, #a897da
reactors/reactoreinsteiniumquad, #aaa0e4
reactors/reactoreinsteiniumsimple, #af9ee3
reactors/reactorfermiumdual, #afae66
reactors/reactorfermiumquad, #b6b466
reactors/reactorfermiumsimple, #b5b466
reactors/reactorlawrenciumdual, #6b9e93
reactors/reactorlawrenciumquad, #6ba497
reactors/reactorlawrenciumsimple, #6ca297
reactors/reactormendeleviumdual, #a76890
reactors/reactormendeleviumquad, #a4698d
reactors/reactormendeleviumsimple, #ac6b94
reactors/reactorneptuniumdual, #7f8a76
reactors/reactorneptuniumquad, #839079
reactors/reactorneptuniumsimple, #828d78
reactors/reactornobeliumdual, #9497b1
reactors/reactornobeliumquad, #9a9dbb
reactors/reactornobeliumsimple, #989ab8
reactors/reactorprotondual, #9a6bb1
reactors/reactorprotonquad, #a16cbb
reactors/reactorprotonsimple, #9e6cb6
reactors/reactortoriydual, #8768b4
reactors/reactortoriyquad, #8c69bf
reactors/reactortoriysimple, #8a69b9
reactors/reactoruran233dual, #9e9068
reactors/reactoruran233quad, #9e9764
reactors/reactoruran233simple, #a49769
reactors/toriy, #9a9ba1
reactors/uranium_fuel_rod, #8aa870
reactors/vent, #ffa14a
recipe_schedule, #bbbbbb
red_phosphorus, #8a2014
research_lens/lens_1, #48c6ff
research_lens/lens_2, #ff9d6f
research_lens/lens_3, #76fce7
research_lens/lens_4, #f16287
research_lens/lens_5, #fea1a0
research_lens/lens_6, #47ead9
research_lens/lens_7, #988a96
rotor/adronrotor, #aefffe
rotor/barionrotor, #fab2f7
rotor/compressiridium, #fffffe
rotor/iridium, #ffffff
rotor/myphical, #dcaefb
rotor/neutron, #b5c5f7
rotor/photon, #bffbaa
rotor/rotor_bronze, #ffe0b6
rotor/rotor_carbon, #b9b5ae
rotor/rotor_iron, #fffffc
rotor/rotor_steel, #eaebe8
rotor/rotor_wood, #ffeac5
rotor/spectral, #fff4ae
rotor/ultramarinerotor, #b2fff5
rotors_upgrade/rotorupgrade, #98a2cd
rotors_upgrade/rotorupgrade1, #a0a7cd
rotors_upgrade/rotorupgrade10, #deb476
rotors_upgrade/rotorupgrade11, #6986c8
rotors_upgrade/rotorupgrade12, #708ac8
rotors_upgrade/rotorupgrade13, #7f93c6
rotors_upgrade/rotorupgrade14, #69becf
rotors_upgrade/rotorupgrade15, #70c0cf
rotors_upgrade/rotorupgrade16, #7fc6cd
rotors_upgrade/rotorupgrade17, #ab6bcc
rotors_upgrade/rotorupgrade18, #b26fcc
rotors_upgrade/rotorupgrade19, #be79c9
rotors_upgrade/rotorupgrade2, #abacca
rotors_upgrade/rotorupgrade3, #6cc375
rotors_upgrade/rotorupgrade4, #73c676
rotors_upgrade/rotorupgrade5, #82cc78
rotors_upgrade/rotorupgrade6, #c57a68
rotors_upgrade/rotorupgrade7, #ca7f69
rotors_upgrade/rotorupgrade8, #d4876c
rotors_upgrade/rotorupgrade9, #c0d072
rotorupgrade_schemes, #afc2c5
royal_jelly, #ffffff
ruby_axe, #b53426
ruby_pickaxe, #ac3425
ruby_shovel, #b53d29
sapling/rubber_sapling, #3a7c1c
sapphire_axe, #4044a2
sapphire_pickaxe, #414397
sapphire_shovel, #4a4a9a
sensor/sensor, #bfc6c6
single_use_battery, #afa0ae
smalldust/aluminium, #ae86ae
smalldust/arsenic, #86a722
smalldust/barium, #f1bf16
smalldust/bismuth, #547fbb
smalldust/bronze, #ea984b
smalldust/cadmium, #ffffff
smalldust/caravky, #7f4d1c
smalldust/chromium, #ffffff
smalldust/cobalt, #15a4d7
smalldust/copper, #ed8c41
smalldust/diamond, #61e8dd
smalldust/electrium, #fff43e
smalldust/emerald, #32c054
smalldust/ender_pearl, #ffffff
smalldust/gadolinium, #e87d00
smalldust/gallium, #d0872c
smalldust/germanium, #915b25
smalldust/ghast, #ffffff
smalldust/gold, #ffc547
smalldust/hafnium, #86abdd
smalldust/invar, #939393
smalldust/iridium, #ffffff
smalldust/iron, #ebebeb
smalldust/lapis, #3c70e1
smalldust/lead, #b5bba8
smalldust/magnesium, #ffe0f5
smalldust/manganese, #ffaad3
smalldust/mikhail, #8ee7e0
smalldust/molybdenum, #754dcf
smalldust/neodymium, #cd97d9
smalldust/nickel, #ccc991
smalldust/niobium, #226baa
smalldust/obsidian, #3c2c54
smalldust/osmium, #ffffff
smalldust/palladium, #ff7828
smalldust/platium, #ffffff
smalldust/polonium, #6fddff
smalldust/quartz, #ffffff
smalldust/silver, #ffffff
smalldust/spinel, #d458a2
smalldust/strontium, #ac622c
smalldust/sulfur, #cccd46
smalldust/tantalum, #ffffff
smalldust/thallium, #5cbb3c
smalldust/tin, #f2f2f2
smalldust/titanium, #47474b
smalldust/vanady, #b1709d
smalldust/wolfram, #9b9b9b
smalldust/yttrium, #eb4743
smalldust/zinc, #ffffff
smalldust/zirconium, #a07318
solar_panel_battery/adm, #dc4046
solar_panel_battery/adr, #ffe637
solar_panel_battery/adv, #da8943
solar_panel_battery/bar, #fef7f7
solar_panel_battery/gra, #4ed2d6
solar_panel_battery/hyb, #305f90
solar_panel_battery/kvr, #986822
solar_panel_battery/neu, #5f44c5
solar_panel_battery/pho, #50e751
solar_panel_battery/pro, #b644d7
solar_panel_battery/qua, #39a49e
solar_panel_battery/sin, #807979
solar_panel_battery/spe, #eab641
solar_panel_battery/ult, #37408e
solar_panel_glass/adm, #ffbc90
solar_panel_glass/adr, #ffffa1
solar_panel_glass/adv, #ffff9d
solar_panel_glass/bar, #fffff5
solar_panel_glass/gra, #c0ffe7
solar_panel_glass/hyb, #c5e8e3
solar_panel_glass/kvr, #e6d486
solar_panel_glass/neu, #c8b4e0
solar_panel_glass/pho, #bfff8d
solar_panel_glass/pro, #ffb8e8
solar_panel_glass/qua, #b8eebf
solar_panel_glass/sin, #f5f0c3
solar_panel_glass/spe, #ffffa8
solar_panel_glass/ult, #c6ccd4
solar_panel_output/adm, #e87a7a
solar_panel_output/adr, #ffff79
solar_panel_output/adv, #e8c89b
solar_panel_output/bar, #ffffff
solar_panel_output/gra, #73e8e6
solar_panel_output/hyb, #798d9e
solar_panel_output/kvr, #9b8a6f
solar_panel_output/neu, #8a7cd2
solar_panel_output/pho, #84ff84
solar_panel_output/pro, #a57cb1
solar_panel_output/qua, #6f908e
solar_panel_output/sin, #9d9d9d
solar_panel_output/spe, #fade7f
solar_panel_output/ult, #797f94
solderingiron, #e4c387
solidmatter/aer_matter, #86ffff
solidmatter/aqua_matter, #665eff
solidmatter/earth_matter, #5beb39
solidmatter/end_matter, #b15aff
solidmatter/matter, #ff78fa
solidmatter/nether_matter, #ff4458
solidmatter/night_matter, #444343
solidmatter/sun_matter, #fffb65
spaceupgrademodule_schedule, #c0a78a
spaceupgrademodules/space_upgrademodule, #c8ab70
spaceupgrademodules/space_upgrademodule1, #cf895e
spaceupgrademodules/space_upgrademodule2, #91b4a7
spaceupgrademodules/space_upgrademodule3, #ac91a5
spaceupgrademodules/space_upgrademodule4, #b69876
spaceupgrademodules/space_upgrademodule5, #c29782
spaceupgrademodules/space_upgrademodule6, #acbf68
spawnermodules/spawner_module, #89ff7d
spawnermodules/spawner_module1, #5fff9b
spawnermodules/spawner_module2, #79eb9b
spawnermodules/spawner_module3, #84ca65
spawnermodules/spawner_module4, #5cff6e
spawnermodules/spawner_module5, #79d76c
spawnermodules/spawner_module6, #72d278
spawnermodules/spawner_module7, #6bd46e
spawnermodules/spawner_module8, #93f875
spectral_box, #b98296
steam_blade/steam_blade_barion, #cd29e6
steam_blade/steam_blade_bronze, #e49141
steam_blade/steam_blade_carbon, #282828
steam_blade/steam_blade_compressiridium, #f2f2f2
steam_blade/steam_blade_hadron, #14eafa
steam_blade/steam_blade_iridium, #ffffff
steam_blade/steam_blade_iron, #ebeaea
steam_blade/steam_blade_myphical, #7318d6
steam_blade/steam_blade_neutron, #2558de
steam_blade/steam_blade_photon, #3dda28
steam_blade/steam_blade_spectral, #fcc532
steam_blade/steam_blade_steel, #afbfc9
steam_blade/steam_blade_ultramarine, #19dacd
steam_blade/steam_blade_wood, #b89354
stick/aluminium, #b47fb8
stick/arsenic, #8dab25
stick/barium, #75621b
stick/bismuth, #3091b6
stick/cadmium, #5a4168
stick/caravky, #72471e
stick/chromium, #51b557
stick/cobalt, #119ee8
stick/electrium, #ffd723
stick/gadolinium, #6b3a12
stick/gallium, #f1962f
stick/germanium, #a15e1c
stick/hafnium, #515e6f
stick/invar, #989494
stick/iridium, #b6e6e7
stick/magnesium, #f5c0e0
stick/manganese, #ff6ea0
stick/mikhail, #73f5f4
stick/molybdenum, #4a3678
stick/neodymium, #d073f7
stick/nickel, #f7e791
stick/niobium, #22649d
stick/osmium, #4ef0ff
stick/palladium, #793616
stick/platium, #5ea1ff
stick/polonium, #26547f
stick/silver, #9daaac
stick/spinel, #e35ab5
stick/strontium, #a85f30
stick/tantalum, #829141
stick/thallium, #3c642c
stick/titanium, #55555c
stick/vanady, #beae86
stick/wolfram, #a2a2a2
stick/yttrium, #ff504b
stick/zinc, #5c584e
stick/zirconium, #a2731f
synthetic_plate, #484851
synthetic_rubber, #47474e
terra_wart, #558a4
tomato, #c83911
tools/agricultural_analyzer, #cac8ac
tools/bee_analyzer, #d4c6ac
tools/canister, #669836
tools/cooling_sensor, #a7e7d6
tools/foam_sprayer, #d6d7d7
tools/frequency_transmitter, #82899e
tools/gas_sensor, #d06637
tools/heat_sensor, #e4b6ab
tools/multiblock_deplanner, #ffaec3
tools/multiblock_planner, #9bb64e
tools/reactor_data_item, #8e904a
tools/treetap, #784329
topaz_axe, #bb9b26
topaz_pickaxe, #b29325
topaz_shovel, #b89a29
upgrade_casing, #c3c3c3
upgrade_speed_creation, #e1bbbb
upgradekitmachine/upgradekitmachine4, #bfffb6
upgradekitmachine/upgradepanelkitmachine, #ffff9e
upgradekitmachine/upgradepanelkitmachine1, #8ecaff
upgradekitmachine/upgradepanelkitmachine2, #ffb8ff
upgradekitmachine/upgradepanelkitmachine3, #ffb47d
upgradekitpanel/upgradepanelkit, #aacade
upgradekitpanel/upgradepanelkit1, #c8aa79
upgradekitpanel/upgradepanelkit10, #7362c5
upgradekitpanel/upgradepanelkit11, #f0ebaf
upgradekitpanel/upgradepanelkit12, #bbee79
upgradekitpanel/upgradepanelkit13, #51b59b
upgradekitpanel/upgradepanelkit2, #407ad0
upgradekitpanel/upgradepanelkit3, #336caf
upgradekitpanel/upgradepanelkit4, #75ae76
upgradekitpanel/upgradepanelkit5, #fbac8c
upgradekitpanel/upgradepanelkit6, #af5bc5
upgradekitpanel/upgradepanelkit7, #b57272
upgradekitpanel/upgradepanelkit8, #b47534
upgradekitpanel/upgradepanelkit9, #33a25f
upgradekitstorage/upgradekit, #d7d0c3
upgradekitstorage/upgradekit1, #e0d0cd
upgradekitstorage/upgradekit2, #ccbbd3
upgradekitstorage/upgradekit3, #cdcfd2
upgradekitstorage/upgradekit4, #cde6b9
upgradekitstorage/upgradekit5, #c5e7d0
upgradekitstorage/upgradekit6, #e6f0c8
upgradekitstorage/upgradekit7, #ccf4d2
upgradekitstorage/upgradekit8, #beded3
upgrademodules/upgrademodule, #e6c894
upgrademodules/upgrademodule1, #e1c59d
upgrademodules/upgrademodule10, #eef5d3
upgrademodules/upgrademodule11, #f4e6bb
upgrademodules/upgrademodule12, #fcf0c5
upgrademodules/upgrademodule13, #e3d7d2
upgrademodules/upgrademodule14, #fbfeda
upgrademodules/upgrademodule15, #deb990
upgrademodules/upgrademodule16, #ffcfa4
upgrademodules/upgrademodule17, #f8b88e
upgrademodules/upgrademodule18, #d3cca8
upgrademodules/upgrademodule19, #cfe684
upgrademodules/upgrademodule2, #dcd4b1
upgrademodules/upgrademodule20, #d9c69d
upgrademodules/upgrademodule21, #fff59a
upgrademodules/upgrademodule22, #fffebe
upgrademodules/upgrademodule23, #fad6ab
upgrademodules/upgrademodule24, #ffeaa5
upgrademodules/upgrademodule25, #d3e1dd
upgrademodules/upgrademodule26, #e8f2b2
upgrademodules/upgrademodule27, #e0ffbe
upgrademodules/upgrademodule28, #e1d6ab
upgrademodules/upgrademodule29, #dacfaf
upgrademodules/upgrademodule3, #ffd2d3
upgrademodules/upgrademodule30, #dae4c0
upgrademodules/upgrademodule31, #d3f19e
upgrademodules/upgrademodule32, #e0cfa5
upgrademodules/upgrademodule33, #eed9ae
upgrademodules/upgrademodule34, #e7fcbb
upgrademodules/upgrademodule35, #e3d7ac
upgrademodules/upgrademodule36, #e8deb4
upgrademodules/upgrademodule37, #daffa4
upgrademodules/upgrademodule38, #dcd49d
upgrademodules/upgrademodule39, #ddd3a8
upgrademodules/upgrademodule4, #e7ddb8
upgrademodules/upgrademodule40, #ffe6d4
upgrademodules/upgrademodule41, #fafbd6
upgrademodules/upgrademodule42, #d7c5a1
upgrademodules/upgrademodule43, #fffea1
upgrademodules/upgrademodule44, #ffe191
upgrademodules/upgrademodule45, #ffe8af
upgrademodules/upgrademodule46, #ffde9e
upgrademodules/upgrademodule5, #eee6c0
upgrademodules/upgrademodule6, #ffcaca
upgrademodules/upgrademodule7, #f4dca8
upgrademodules/upgrademodule8, #e1e6c0
upgrademodules/upgrademodule9, #e0c69b
upgrades/adv_storageupgrade, #dad494
upgrades/ejector, #d7bf94
upgrades/energy_storage, #dd988e
upgrades/fluid_ejector, #8da5d9
upgrades/fluid_pulling, #8da4d9
upgrades/imp_storageupgrade, #8dd7d4
upgrades/overclocker, #89a4de
upgrades/overclockerupgrade1, #dd948a
upgrades/overclockerupgrade2, #9edc8e
upgrades/per_storageupgrade, #c691dc
upgrades/pulling, #d7bf93
upgrades/storageupgrade, #8d9bda
upgrades/transformer, #d98076
upgrades/transformerupgrade1, #7696dc
upgrades/transformerupgrade2, #8dd47c
verysmalldust/aluminium, #ffffff
verysmalldust/cadmium, #ffffff
verysmalldust/caravky, #ffffff
verysmalldust/chromium, #ffffff
verysmalldust/cobalt, #ffffff
verysmalldust/electrium, #ffffff
verysmalldust/germanium, #ffffff
verysmalldust/invar, #ffffff
verysmalldust/iridium, #ffffff
verysmalldust/magnesium, #ffffff
verysmalldust/manganese, #ffffff
verysmalldust/mikhail, #ffffff
verysmalldust/nickel, #ffffff
verysmalldust/osmium, #ffffff
verysmalldust/platium, #ffffff
verysmalldust/silver, #ffffff
verysmalldust/spinel, #ffffff
verysmalldust/tantalum, #ffffff
verysmalldust/titanium, #ffffff
verysmalldust/vanady, #ffffff
verysmalldust/wolfram, #ffffff
verysmalldust/zinc, #ffffff
voltage_sensor_for_mechanism, #dee8ea
water_rotor/water_adronrotor, #79f0f1
water_rotor/water_barionrotor, #e382e6
water_rotor/water_compressiridium, #f4f0ea
water_rotor/water_iridium, #ffffff
water_rotor/water_myphical, #b67de6
water_rotor/water_neutron, #849ee4
water_rotor/water_photon, #91e87a
water_rotor/water_rotor_bronze, #f5c390
water_rotor/water_rotor_carbon, #8d8982
water_rotor/water_rotor_iron, #fbf7f0
water_rotor/water_rotor_steel, #d2d7d7
water_rotor/water_rotor_wood, #e6ca9d
water_rotor/water_spectral, #ffde86
water_rotor/water_ultramarinerotor, #82eee1
water_rotors_upgrade/water_rotorupgrade, #66cfca
water_rotors_upgrade/water_rotorupgrade1, #30b2ff
water_rotors_upgrade/water_rotorupgrade10, #6cdce4
water_rotors_upgrade/water_rotorupgrade11, #36bfff
water_rotors_upgrade/water_rotorupgrade12, #6ca8ff
water_rotors_upgrade/water_rotorupgrade13, #89f7c9
water_rotors_upgrade/water_rotorupgrade14, #54daff
water_rotors_upgrade/water_rotorupgrade15, #89c3fc
water_rotors_upgrade/water_rotorupgrade16, #51beff
water_rotors_upgrade/water_rotorupgrade2, #669bfe
water_rotors_upgrade/water_rotorupgrade3, #8de6e0
water_rotors_upgrade/water_rotorupgrade4, #57c9ff
water_rotors_upgrade/water_rotorupgrade5, #8db2ff
water_rotors_upgrade/water_rotorupgrade6, #84daee
water_rotors_upgrade/water_rotorupgrade7, #50beff
water_rotors_upgrade/water_rotorupgrade8, #84a7ff
water_rotors_upgrade/water_rotorupgrade9, #73cde6
waterrod/bronze_rotor_model, #eba462
waterrod/carbon_rotor_model, #343a46
waterrod/carbon_rotor_model1, #ffffff
waterrod/carbon_rotor_model2, #e7edf8
waterrod/carbon_rotor_model3, #fccf4e
waterrod/carbon_rotor_model4, #7f29f2
waterrod/carbon_rotor_model5, #2c62f1
waterrod/carbon_rotor_model6, #44e140
waterrod/carbon_rotor_model7, #cd34f4
waterrod/carbon_rotor_model8, #1cedff
waterrod/carbon_rotor_model9, #26edee
waterrod/iron_rotor_model, #f7fbff
waterrod/oak_rotor_model, #d6b27c
waterrod/steel_rotor_model, #b6cade
wax_stick, #fff7de
white_phosphorus, #ffff4a
windrod/bronze_rotor_model, #ea9b4d
windrod/carbon_rotor_model, #2f2f2f
windrod/carbon_rotor_model1, #ffffff
windrod/carbon_rotor_model2, #f0f0f0
windrod/carbon_rotor_model3, #fac63c
windrod/carbon_rotor_model4, #781cda
windrod/carbon_rotor_model5, #2658dc
windrod/carbon_rotor_model6, #41d92c
windrod/carbon_rotor_model7, #cc2de3
windrod/carbon_rotor_model8, #1be6f4
windrod/carbon_rotor_model9, #22eade
windrod/iron_rotor_model, #e6e6e6
windrod/oak_rotor_model, #d2a762
windrod/steel_rotor_model, #abb5bf
wiring/ampere, #c58d75
wiring/copper, #ff9722
wiring/copper1, #73685e
wiring/experience, #75c926
wiring/glass, #e3c34b
wiring/glass1, #be40d6
wiring/glass10, #5c5c5c
wiring/glass2, #8a8a8a
wiring/glass3, #d4463d
wiring/glass4, #39c23e
wiring/glass5, #4133af
wiring/glass6, #cccccc
wiring/glass7, #dcd468
wiring/glass8, #41cac6
wiring/glass9, #705c2d
wiring/glass_1, #deffff
wiring/gold, #ffff80
wiring/gold1, #787564
wiring/iron, #ffffff
wiring/iron1, #707070
wiring/itemcable, #bfabb4
wiring/itemcable1, #a2c0da
wiring/itemcable10, #cae4ea
wiring/itemcable11, #f5f5f5
wiring/itemcable12, #aa9b9d
wiring/itemcable13, #8db1c2
wiring/itemcable14, #a7b8c3
wiring/itemcable15, #d9af7a
wiring/itemcable16, #bcc5a0
wiring/itemcable17, #dac694
wiring/itemcable18, #b9a066
wiring/itemcable19, #a1b286
wiring/itemcable2, #3aae9a
wiring/itemcable20, #bcb276
wiring/itemcable21, #3eaac9
wiring/itemcable22, #26bbe8
wiring/itemcable23, #1ebef2
wiring/itemcable24, #3e9b97
wiring/itemcable25, #25aeb8
wiring/itemcable26, #1faeb2
wiring/itemcable27, #eed3a5
wiring/itemcable28, #d4e6c6
wiring/itemcable29, #fef2c6
wiring/itemcable3, #22c0b9
wiring/itemcable4, #c9cdeb
wiring/itemcable5, #19c9b8
wiring/itemcable6, #d99a4d
wiring/itemcable7, #bbaf72
wiring/itemcable8, #ddb15f
wiring/itemcable9, #e7cfc3
wiring/night, #ffffff
wiring/quantum, #54d0c9
wiring/radiation, #62666b
wiring/solarium, #c0b534
wiring/tin, #ffffff
wiring/tin1, #707070
wiring/universal, #ffff57
wiring/universal1, #dc37ff
wiring/universal10, #757575
wiring/universal2, #bebebe
wiring/universal3, #ff5547
wiring/universal4, #513af0
wiring/universal5, #3dff4b
wiring/universal6, #ffffff
wiring/universal7, #ffff90
wiring/universal8, #51ffff
wiring/universal9, #947932
wolframite, #aeac83
